,Media Source,Compound,Positive,Negative,Neutral,Date,Tweets Ago,Tweet
0,BBC,0.7717,0.242,0.758,0.0,Sun Apr 01 12:19:34 +0000 2018,1,"RT @bbcweather: As the RAF celebrates 100 years since its formation, here is a rather serene view of this morning's weather at #RAF #Lossie…"
1,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:14:27 +0000 2018,2,Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
2,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 12:00:24 +0000 2018,3,Could poetry be used as a form of therapy? https://t.co/pw2hBG3heY
3,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:23:47 +0000 2018,4,RT @BBCOne: How not to prank your family this Easter. https://t.co/SMXFIukYMJ
4,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:19:57 +0000 2018,5,RT @bbcpress: Julien lives! @TchekyKaryo reprises his role as #TheMissing's Julien Baptiste in gripping new @BBCOne drama #Baptiste: https:…
5,BBC,0.0,0.0,1.0,0.0,Sun Apr 01 11:18:20 +0000 2018,6,RT @BBCFood: See how Mary Berry does Easter at her house: https://t.co/qzrkDoA9fS https://t.co/AOUIOo4tgr
6,BBC,0.8083,0.289,0.711,0.0,Sun Apr 01 11:04:05 +0000 2018,7,Why do we find chocolate so irresistible? 🍫 🤔 This is the secret reason why we love to eat it. 👉… https://t.co/C8FbJAZQ99
7,BBC,0.1695,0.085,0.915,0.0,Sun Apr 01 10:37:30 +0000 2018,8,RT @bbcpress: 🐰🐰🐰 #HappyEaster from @RealBasilBrush - don't forget to watch #GenerationGame tonight on @BBCOne at 8pm after you've finished…
8,BBC,0.4404,0.172,0.828,0.0,Sun Apr 01 10:27:03 +0000 2018,9,From traditional Easter lunch to laid-back seasonal feasts: @BBCFood have Easter entertaining covered. 🐣🍫🐰🍴 https://t.co/PT7uD9UIvn
9,BBC,0.6705,0.224,0.776,0.0,Sun Apr 01 10:03:08 +0000 2018,10,🍫🐣🎶 @Stormzy1's cover of Sweet Like Chocolate from the @BBCR1 Live Lounge is an eggs-cellent way to start your East… https://t.co/IHlTGrkmfv
10,BBC,0.6705,0.216,0.784,0.0,Sun Apr 01 09:24:05 +0000 2018,11,"""I feel like I'm part of something"". ❤️️ 👂🏼 🍺 Welcome to Deaf Pub, a place where members of the deaf community can… https://t.co/kRwHqCBUrI"
11,BBC,0.8126,0.712,0.288,0.0,Sun Apr 01 08:32:07 +0000 2018,12,❤️😢 Man's best friend. https://t.co/xE4rkcBJNv
